Wavelength (nm)	n	k
1275.000000	3.511845	0.000000	
1280.000000	3.511075	0.000000	
1285.000000	3.510323	0.000000	
1290.000000	3.509571	0.000000	
1295.000000	3.508836	0.000000	
1300.000000	3.508108	0.000000	
1305.000000	3.507380	0.000000	
1310.000000	3.506676	0.000000	
1315.000000	3.505974	0.000000	
1320.000000	3.505275	0.000000	
1325.000000	3.504596	0.000000	
1330.000000	3.503917	0.000000	
1335.000000	3.503246	0.000000	
1340.000000	3.502590	0.000000	
1345.000000	3.501935	0.000000	
1350.000000	3.501289	0.000000	
1355.000000	3.500656	0.000000	
1360.000000	3.500023	0.000000	
1365.000000	3.499400	0.000000	
1370.000000	3.498788	0.000000	
1375.000000	3.498176	0.000000	
1380.000000	3.497575	0.000000	
1385.000000	3.496985	0.000000	
1390.000000	3.496395	0.000000	
1395.000000	3.495812	0.000000	
1400.000000	3.495244	0.000000	
1405.000000	3.494675	0.000000	
1410.000000	3.494110	0.000000	
1415.000000	3.493561	0.000000	
1420.000000	3.493012	0.000000	
1425.000000	3.492463	0.000000	
1430.000000	3.491933	0.000000	
1435.000000	3.491405	0.000000	
1440.000000	3.490876	0.000000	
1445.000000	3.490359	0.000000	
1450.000000	3.489850	0.000000	
1455.000000	3.489341	0.000000	
1460.000000	3.488836	0.000000	
1465.000000	3.488345	0.000000	
1470.000000	3.487854	0.000000	
1475.000000	3.487364	0.000000	
1480.000000	3.486887	0.000000	
1485.000000	3.486414	0.000000	
1490.000000	3.485941	0.000000	
1495.000000	3.485471	0.000000	
1500.000000	3.485017	0.000000	
1505.000000	3.484562	0.000000	
1510.000000	3.484107	0.000000	
1515.000000	3.483662	0.000000	
1520.000000	3.483224	0.000000	
1525.000000	3.482787	0.000000	
1530.000000	3.482349	0.000000	
1535.000000	3.481926	0.000000	
1540.000000	3.481505	0.000000	
1545.000000	3.481084	0.000000	
1550.000000	3.480664	0.000000	
1555.000000	3.480259	0.000000	
1560.000000	3.479855	0.000000	
1565.000000	3.479450	0.000000	
1570.000000	3.479046	0.000000	
1575.000000	3.478657	0.000000	
1580.000000	3.478269	0.000000	
1585.000000	3.477880	0.000000	
1590.000000	3.477491	0.000000	
1595.000000	3.477118	0.000000	
1600.000000	3.476746	0.000000	
