Wavelength (nm)	n	k
1275.000000	1.754984	0.000000	
1280.000000	1.754954	0.000000	
1285.000000	1.754924	0.000000	
1290.000000	1.754894	0.000000	
1295.000000	1.754864	0.000000	
1300.000000	1.754835	0.000000	
1305.000000	1.754806	0.000000	
1310.000000	1.754778	0.000000	
1315.000000	1.754749	0.000000	
1320.000000	1.754721	0.000000	
1325.000000	1.754694	0.000000	
1330.000000	1.754666	0.000000	
1335.000000	1.754639	0.000000	
1340.000000	1.754612	0.000000	
1345.000000	1.754585	0.000000	
1350.000000	1.754558	0.000000	
1355.000000	1.754532	0.000000	
1360.000000	1.754506	0.000000	
1365.000000	1.754480	0.000000	
1370.000000	1.754454	0.000000	
1375.000000	1.754429	0.000000	
1380.000000	1.754404	0.000000	
1385.000000	1.754379	0.000000	
1390.000000	1.754354	0.000000	
1395.000000	1.754330	0.000000	
1400.000000	1.754305	0.000000	
1405.000000	1.754281	0.000000	
1410.000000	1.754257	0.000000	
1415.000000	1.754233	0.000000	
1420.000000	1.754210	0.000000	
1425.000000	1.754187	0.000000	
1430.000000	1.754163	0.000000	
1435.000000	1.754140	0.000000	
1440.000000	1.754117	0.000000	
1445.000000	1.754095	0.000000	
1450.000000	1.754072	0.000000	
1455.000000	1.754050	0.000000	
1460.000000	1.754028	0.000000	
1465.000000	1.754006	0.000000	
1470.000000	1.753984	0.000000	
1475.000000	1.753963	0.000000	
1480.000000	1.753941	0.000000	
1485.000000	1.753920	0.000000	
1490.000000	1.753899	0.000000	
1495.000000	1.753878	0.000000	
1500.000000	1.753857	0.000000	
1505.000000	1.753836	0.000000	
1510.000000	1.753816	0.000000	
1515.000000	1.753795	0.000000	
1520.000000	1.753775	0.000000	
1525.000000	1.753755	0.000000	
1530.000000	1.753735	0.000000	
1535.000000	1.753715	0.000000	
1540.000000	1.753695	0.000000	
1545.000000	1.753676	0.000000	
1550.000000	1.753657	0.000000	
1555.000000	1.753637	0.000000	
1560.000000	1.753618	0.000000	
1565.000000	1.753599	0.000000	
1570.000000	1.753580	0.000000	
1575.000000	1.753561	0.000000	
1580.000000	1.753543	0.000000	
1585.000000	1.753524	0.000000	
1590.000000	1.753506	0.000000	
1595.000000	1.753487	0.000000	
1600.000000	1.753469	0.000000	
