Wavelength (nm)	n	k
300.000000	1.238064	3.387525	
310.000000	1.311082	3.545182	
320.000000	1.389026	3.693511	
330.000000	1.479608	3.837982	
340.000000	1.584462	3.978515	
350.000000	1.702379	4.112976	
360.000000	1.831800	4.239469	
370.000000	1.971063	4.351178	
380.000000	2.119054	4.442125	
390.000000	2.275022	4.509565	
400.000000	2.432464	4.556697	
410.000000	2.580675	4.589882	
420.000000	2.712027	4.613243	
430.000000	2.821571	4.629345	
440.000000	2.911691	4.641288	
450.000000	2.990706	4.653186	
460.000000	3.065090	4.668413	
470.000000	3.139562	4.689566	
480.000000	3.217447	4.718476	
490.000000	3.300094	4.753962	
500.000000	3.387360	4.792320	
510.000000	3.479016	4.830610	
520.000000	3.574838	4.866667	
530.000000	3.674610	4.898943	
540.000000	3.778131	4.926380	
550.000000	3.884454	4.948162	
560.000000	3.990872	4.963401	
570.000000	4.095049	4.971375	
580.000000	4.195276	4.971536	
590.000000	4.290325	4.963475	
600.000000	4.379345	4.946892	
610.000000	4.461773	4.921569	
620.000000	4.537268	4.887350	
630.000000	4.605731	4.844425	
640.000000	4.667550	4.794604	
650.000000	4.723176	4.739949	
660.000000	4.772955	4.682185	
670.000000	4.817158	4.622756	
680.000000	4.855995	4.562871	
690.000000	4.889626	4.503543	
700.000000	4.918177	4.445620	
710.000000	4.941752	4.389811	
720.000000	4.960435	4.336704	
730.000000	4.974302	4.286792	
740.000000	4.983435	4.240450	
750.000000	4.988039	4.197665	
760.000000	4.988386	4.158211	
770.000000	4.984736	4.121885	
780.000000	4.977334	4.088504	
790.000000	4.966410	4.057908	
800.000000	4.952178	4.029948	
810.000000	4.934844	4.004495	
820.000000	4.914598	3.981431	
830.000000	4.891619	3.960651	
840.000000	4.866079	3.942061	
850.000000	4.838138	3.925575	
860.000000	4.807946	3.911117	
870.000000	4.775647	3.898617	
880.000000	4.741377	3.888012	
890.000000	4.705264	3.879248	
900.000000	4.667432	3.872276	
910.000000	4.628004	3.867163	
920.000000	4.587108	3.864068	
930.000000	4.544867	3.863137	
940.000000	4.501404	3.864498	
950.000000	4.456843	3.868262	
960.000000	4.411306	3.874528	
970.000000	4.364915	3.883379	
980.000000	4.317795	3.894884	
990.000000	4.270069	3.909100	
1000.000000	4.221865	3.926069	
1010.000000	4.173309	3.945825	
1020.000000	4.124530	3.968385	
1030.000000	4.075656	3.993754	
1040.000000	4.026817	4.021929	
1050.000000	3.978140	4.052889	
1060.000000	3.929752	4.086606	
1070.000000	3.881777	4.123036	
1080.000000	3.834339	4.162128	
1090.000000	3.787554	4.203817	
1100.000000	3.741534	4.248029	
1110.000000	3.696387	4.294680	
1120.000000	3.652212	4.343677	
1130.000000	3.609103	4.394919	
1140.000000	3.567143	4.448299	
1150.000000	3.526408	4.503705	
1160.000000	3.486960	4.560977	
1170.000000	3.448845	4.619883	
1180.000000	3.412092	4.680185	
1190.000000	3.376720	4.741664	
1200.000000	3.342735	4.804116	
1210.000000	3.310133	4.867348	
1220.000000	3.278901	4.931183	
1230.000000	3.249020	4.995459	
1240.000000	3.220464	5.060025	
1250.000000	3.193199	5.124745	
1260.000000	3.167190	5.189496	
1270.000000	3.142398	5.254163	
1280.000000	3.118780	5.318647	
1290.000000	3.096294	5.382857	
1300.000000	3.074893	5.446712	
1310.000000	3.054533	5.510139	
1320.000000	3.035167	5.573077	
1330.000000	3.016752	5.635468	
1340.000000	2.999242	5.697265	
1350.000000	2.982594	5.758424	
1360.000000	2.966764	5.818911	
1370.000000	2.951713	5.878693	
1380.000000	2.937400	5.937743	
1390.000000	2.923786	5.996042	
1400.000000	2.910836	6.053570	
1410.000000	2.898512	6.110312	
1420.000000	2.886782	6.166259	
1430.000000	2.875614	6.221401	
1440.000000	2.864977	6.275732	
1450.000000	2.854841	6.329248	
1460.000000	2.845179	6.381949	
1470.000000	2.835964	6.433834	
1480.000000	2.827172	6.484904	
1490.000000	2.818779	6.535163	
1500.000000	2.810763	6.584615	
1510.000000	2.803102	6.633265	
1520.000000	2.795777	6.681120	
1530.000000	2.788769	6.728186	
1540.000000	2.782059	6.774472	
1550.000000	2.775632	6.819985	
1560.000000	2.769471	6.864736	
1570.000000	2.763561	6.908731	
1580.000000	2.757887	6.951983	
1590.000000	2.752438	6.994501	
1600.000000	2.747199	7.036294	
