Wavelength (nm)	n	k
582.020996	2.974782	0.054627
583.606262	2.971569	0.054269
585.191528	2.968366	0.053917
586.776733	2.965174	0.053568
588.361938	2.961993	0.053223
589.947083	2.958823	0.052883
591.532166	2.955664	0.052546
593.11731	2.952516	0.052214
594.702271	2.949378	0.051885
596.287292	2.946253	0.05156
597.872253	2.943138	0.051239
599.457153	2.940035	0.050921
601.042053	2.936943	0.050607
602.626831	2.933863	0.050297
604.21167	2.930794	0.04999
605.796448	2.927736	0.049687
607.381165	2.92469	0.049387
608.96582	2.921656	0.049091
610.550415	2.918634	0.048798
612.13501	2.915623	0.048508
613.719604	2.912624	0.048221
615.304077	2.909636	0.047937
616.88855	2.906661	0.047657
618.472961	2.903697	0.04738
620.057312	2.900745	0.047105
621.641663	2.897804	0.046834
623.225952	2.894876	0.046565
624.810181	2.89196	0.0463
626.394348	2.889055	0.046037
627.978516	2.886163	0.045777
629.562622	2.883282	0.04552
631.146667	2.880413	0.045266
632.730652	2.877556	0.045014
634.314636	2.874711	0.044765
635.89856	2.871878	0.044519
637.482422	2.869056	0.044275
639.066284	2.866247	0.044034
640.650024	2.86345	0.043795
642.233765	2.860664	0.043559
643.817444	2.857891	0.043325
645.401062	2.855129	0.043094
646.98468	2.852379	0.042864
648.568237	2.849641	0.042638
650.151733	2.846915	0.042413
651.735107	2.844201	0.042191
653.318481	2.841498	0.041971
654.901855	2.838807	0.041753
656.485107	2.836128	0.041538
658.068359	2.833461	0.041324
659.65155	2.830806	0.041113
661.23468	2.828162	0.040904
662.817749	2.82553	0.040697
664.400757	2.822909	0.040492
665.983765	2.8203	0.040289
667.566711	2.817703	0.040088
669.149536	2.815117	0.039888
670.732361	2.812543	0.039691
672.315125	2.809981	0.039496
673.897827	2.80743	0.039302
675.480469	2.80489	0.039111
677.06311	2.802362	0.038921
678.64563	2.799845	0.038733
680.228149	2.79734	0.038547
681.810547	2.794846	0.038362
683.392944	2.792363	0.03818
684.97522	2.789892	0.037999
686.557495	2.787431	0.03782
688.139771	2.784982	0.037642
689.721863	2.782545	0.037466
691.303955	2.780118	0.037292
692.885986	2.777702	0.037119
694.467957	2.775298	0.036948
696.049927	2.772904	0.036778
697.631714	2.770522	0.03661
699.213562	2.76815	0.036444
700.795288	2.765789	0.036279
702.377014	2.763439	0.036115
703.958618	2.7611	0.035953
705.540161	2.758772	0.035793
707.121704	2.756454	0.035634
708.703125	2.754148	0.035476
710.284546	2.751851	0.03532
711.865845	2.749566	0.035165
713.447083	2.747291	0.035011
715.028259	2.745026	0.034859
716.609436	2.742772	0.034708
718.190491	2.740529	0.034559
719.771484	2.738296	0.03441
721.352417	2.736073	0.034263
722.93335	2.73386	0.034118
724.51416	2.731658	0.033973
726.09491	2.729466	0.03383
727.675598	2.727285	0.033688
729.256226	2.725113	0.033547
730.836792	2.722952	0.033408
732.417297	2.7208	0.03327
733.997681	2.718659	0.033132
735.578064	2.716527	0.032996
737.158325	2.714406	0.032861
738.738647	2.712294	0.032728
740.318726	2.710193	0.032595
741.898865	2.708101	0.032464
743.478882	2.706018	0.032333
745.058838	2.703946	0.032204
746.638794	2.701883	0.032075
748.218628	2.69983	0.031948
749.79834	2.697786	0.031822
751.378052	2.695752	0.031697
752.957642	2.693728	0.031573
754.537231	2.691713	0.03145
756.116699	2.689707	0.031327
757.696106	2.687711	0.031206
759.275452	2.685723	0.031086
760.854675	2.683746	0.030967
762.433899	2.681777	0.030849
764.013062	2.679817	0.030731
765.592102	2.677867	0.030615
767.171082	2.675926	0.0305
768.75	2.673994	0.030385
770.328796	2.672071	0.030271
771.907593	2.670157	0.030159
773.486267	2.668252	0.030047
775.06488	2.666355	0.029936
776.643433	2.664468	0.029826
778.221924	2.662589	0.029716
779.800354	2.660719	0.029608
781.378662	2.658858	0.0295
782.956909	2.657005	0.029393
784.535034	2.655161	0.029288
786.113159	2.653325	0.029182
787.691223	2.651498	0.029078
789.269165	2.64968	0.028974
790.847046	2.64787	0.028872
792.424805	2.646068	0.02877
794.002502	2.644275	0.028669
795.580139	2.64249	0.028568
797.157715	2.640714	0.028468
798.735229	2.638945	0.028369
800.312622	2.637185	0.028271
801.889954	2.635433	0.028174
803.467163	2.633689	0.028077
805.044312	2.631953	0.027981
806.62146	2.630225	0.027886
808.198425	2.628505	0.027791
809.775391	2.626793	0.027697
811.352173	2.625089	0.027604
812.929016	2.623393	0.027511
814.505676	2.621705	0.027419
816.082275	2.620024	0.027328
817.658813	2.618352	0.027237
819.235229	2.616687	0.027147
820.811646	2.615029	0.027058
822.387878	2.613379	0.026969
823.96405	2.611737	0.026881
825.540222	2.610102	0.026794
827.116211	2.608475	0.026707
828.6922	2.606855	0.026621
830.268066	2.605243	0.026535
