Wavelength (nm)	n	k
300.000000	1.416744	3.900684	
310.000000	1.533157	4.042162	
320.000000	1.645144	4.175472	
330.000000	1.758810	4.304276	
340.000000	1.873325	4.429021	
350.000000	1.985260	4.548651	
360.000000	2.093530	4.662348	
370.000000	2.204581	4.768839	
380.000000	2.325223	4.867428	
390.000000	2.459218	4.958142	
400.000000	2.602030	5.038374	
410.000000	2.744000	5.103323	
420.000000	2.878631	5.149593	
430.000000	3.001952	5.175119	
440.000000	3.112862	5.185198	
450.000000	3.211944	5.191375	
460.000000	3.299425	5.202549	
470.000000	3.375348	5.225159	
480.000000	3.439911	5.263579	
490.000000	3.497018	5.316172	
500.000000	3.553745	5.376407	
510.000000	3.615627	5.439013	
520.000000	3.686698	5.500037	
530.000000	3.769801	5.556626	
540.000000	3.866860	5.606849	
550.000000	3.977388	5.649667	
560.000000	4.096346	5.684839	
570.000000	4.219079	5.712284	
580.000000	4.342007	5.731945	
590.000000	4.462412	5.743775	
600.000000	4.578249	5.747729	
610.000000	4.688010	5.743771	
620.000000	4.790599	5.731868	
630.000000	4.885352	5.712216	
640.000000	4.972386	5.686145	
650.000000	5.052020	5.655152	
660.000000	5.124522	5.620480	
670.000000	5.190135	5.583159	
680.000000	5.249069	5.544050	
690.000000	5.301520	5.503869	
700.000000	5.347669	5.463215	
710.000000	5.387683	5.422587	
720.000000	5.421725	5.382401	
730.000000	5.449950	5.343008	
740.000000	5.472528	5.304688	
750.000000	5.489873	5.267580	
760.000000	5.502511	5.231737	
770.000000	5.510912	5.197210	
780.000000	5.515500	5.164043	
790.000000	5.516654	5.132274	
800.000000	5.514714	5.101936	
810.000000	5.509991	5.073057	
820.000000	5.502763	5.045659	
830.000000	5.493282	5.019760	
840.000000	5.481778	4.995372	
850.000000	5.468460	4.972506	
860.000000	5.453518	4.951164	
870.000000	5.437128	4.931349	
880.000000	5.419447	4.913057	
890.000000	5.400623	4.896284	
900.000000	5.380789	4.881026	
910.000000	5.360029	4.867412	
920.000000	5.338391	4.855676	
930.000000	5.315922	4.846030	
940.000000	5.292667	4.838655	
950.000000	5.268676	4.833704	
960.000000	5.243999	4.831311	
970.000000	5.218687	4.831584	
980.000000	5.192796	4.834615	
990.000000	5.166382	4.840474	
1000.000000	5.139506	4.849217	
1010.000000	5.112229	4.860886	
1020.000000	5.084616	4.875504	
1030.000000	5.056733	4.893085	
1040.000000	5.028648	4.913628	
1050.000000	5.000431	4.937122	
1060.000000	4.972152	4.963545	
1070.000000	4.943883	4.992866	
1080.000000	4.915696	5.025042	
1090.000000	4.887661	5.060023	
1100.000000	4.859850	5.097753	
1110.000000	4.832332	5.138164	
1120.000000	4.805173	5.181185	
1130.000000	4.778439	5.226738	
1140.000000	4.752192	5.274740	
1150.000000	4.726492	5.325102	
1160.000000	4.701396	5.377680	
1170.000000	4.676955	5.432230	
1180.000000	4.653215	5.488509	
1190.000000	4.630211	5.546285	
1200.000000	4.607970	5.605350	
1210.000000	4.586512	5.665504	
1220.000000	4.565849	5.726565	
1230.000000	4.545988	5.788363	
1240.000000	4.526930	5.850741	
1250.000000	4.508671	5.913556	
1260.000000	4.491204	5.976674	
1270.000000	4.474516	6.039975	
1280.000000	4.458593	6.103349	
1290.000000	4.443417	6.166693	
1300.000000	4.428968	6.229917	
1310.000000	4.415227	6.292938	
1320.000000	4.402169	6.355681	
1330.000000	4.389773	6.418078	
1340.000000	4.378014	6.480071	
1350.000000	4.366867	6.541603	
1360.000000	4.356308	6.602629	
1370.000000	4.346313	6.663104	
1380.000000	4.336856	6.722991	
1390.000000	4.327915	6.782259	
1400.000000	4.319466	6.840879	
1410.000000	4.311484	6.898825	
1420.000000	4.303948	6.956076	
1430.000000	4.296836	7.012616	
1440.000000	4.290127	7.068428	
1450.000000	4.283801	7.123501	
1460.000000	4.277836	7.177824	
1470.000000	4.272216	7.231390	
1480.000000	4.266921	7.284194	
1490.000000	4.261934	7.336231	
1500.000000	4.257238	7.387500	
1510.000000	4.252818	7.437999	
1520.000000	4.248657	7.487729	
1530.000000	4.244742	7.536692	
1540.000000	4.241059	7.584891	
1550.000000	4.237594	7.632329	
1560.000000	4.234335	7.679011	
1570.000000	4.231270	7.724943	
1580.000000	4.228388	7.770130	
1590.000000	4.225678	7.814579	
1600.000000	4.223129	7.858296	
