Wavelength (nm)	n	k
300.000000	1.540513	4.066257	
310.000000	1.656676	4.207420	
320.000000	1.768776	4.338766	
330.000000	1.882977	4.463163	
340.000000	1.998896	4.583385	
350.000000	2.113468	4.701604	
360.000000	2.225597	4.818307	
370.000000	2.341274	4.928826	
380.000000	2.466958	5.028619	
390.000000	2.606309	5.115420	
400.000000	2.754236	5.188002	
410.000000	2.899986	5.245257	
420.000000	3.036125	5.286321	
430.000000	3.157941	5.310691	
440.000000	3.264919	5.322836	
450.000000	3.359514	5.331618	
460.000000	3.443548	5.343935	
470.000000	3.518313	5.364846	
480.000000	3.584875	5.397846	
490.000000	3.646585	5.442273	
500.000000	3.708790	5.494069	
510.000000	3.775644	5.549900	
520.000000	3.850163	5.607224	
530.000000	3.934437	5.664154	
540.000000	4.029830	5.719353	
550.000000	4.135839	5.771361	
560.000000	4.248540	5.817652	
570.000000	4.364367	5.856109	
580.000000	4.480636	5.885167	
590.000000	4.595366	5.903688	
600.000000	4.707126	5.910855	
610.000000	4.814920	5.906096	
620.000000	4.918090	5.889023	
630.000000	5.016224	5.859803	
640.000000	5.108980	5.820895	
650.000000	5.196026	5.775086	
660.000000	5.277059	5.724662	
670.000000	5.351796	5.671501	
680.000000	5.419982	5.617141	
690.000000	5.481390	5.562842	
700.000000	5.535824	5.509633	
710.000000	5.583121	5.458354	
720.000000	5.623152	5.409686	
730.000000	5.655823	5.364186	
740.000000	5.681117	5.322268	
750.000000	5.699528	5.283847	
760.000000	5.711814	5.248590	
770.000000	5.718662	5.216209	
780.000000	5.720694	5.186454	
790.000000	5.718467	5.159113	
800.000000	5.712487	5.134000	
810.000000	5.703209	5.110952	
820.000000	5.691045	5.089825	
830.000000	5.676365	5.070491	
840.000000	5.659507	5.052835	
850.000000	5.640773	5.036754	
860.000000	5.620440	5.022153	
870.000000	5.598754	5.008947	
880.000000	5.575943	4.997056	
890.000000	5.552208	4.986407	
900.000000	5.527733	4.976940	
910.000000	5.502618	4.968774	
920.000000	5.476898	4.962181	
930.000000	5.450604	4.957405	
940.000000	5.423774	4.954656	
950.000000	5.396446	4.954116	
960.000000	5.368661	4.955942	
970.000000	5.340463	4.960265	
980.000000	5.311901	4.967194	
990.000000	5.283023	4.976819	
1000.000000	5.253884	4.989210	
1010.000000	5.224538	5.004421	
1020.000000	5.195045	5.022488	
1030.000000	5.165466	5.043435	
1040.000000	5.135862	5.067268	
1050.000000	5.106298	5.093986	
1060.000000	5.076840	5.123570	
1070.000000	5.047552	5.155995	
1080.000000	5.018502	5.191223	
1090.000000	4.989754	5.229206	
1100.000000	4.961372	5.269890	
1110.000000	4.933422	5.313210	
1120.000000	4.905963	5.359097	
1130.000000	4.879055	5.407473	
1140.000000	4.852754	5.458255	
1150.000000	4.827112	5.511356	
1160.000000	4.802180	5.566631	
1170.000000	4.778001	5.623830	
1180.000000	4.754611	5.682707	
1190.000000	4.732036	5.743030	
1200.000000	4.710296	5.804585	
1210.000000	4.689403	5.867173	
1220.000000	4.669361	5.930610	
1230.000000	4.650171	5.994724	
1240.000000	4.631826	6.059361	
1250.000000	4.614318	6.124375	
1260.000000	4.597633	6.189635	
1270.000000	4.581753	6.255020	
1280.000000	4.566660	6.320422	
1290.000000	4.552331	6.385740	
1300.000000	4.538744	6.450884	
1310.000000	4.525874	6.515773	
1320.000000	4.513695	6.580334	
1330.000000	4.502182	6.644501	
1340.000000	4.491307	6.708215	
1350.000000	4.481045	6.771424	
1360.000000	4.471368	6.834083	
1370.000000	4.462252	6.896149	
1380.000000	4.453669	6.957586	
1390.000000	4.445593	7.018365	
1400.000000	4.438002	7.078457	
1410.000000	4.430871	7.137840	
1420.000000	4.424175	7.196494	
1430.000000	4.417893	7.254403	
1440.000000	4.412004	7.311551	
1450.000000	4.406484	7.367929	
1460.000000	4.401316	7.423529	
1470.000000	4.396480	7.478343	
1480.000000	4.391956	7.532366	
1490.000000	4.387728	7.585597	
1500.000000	4.383779	7.638034	
1510.000000	4.380092	7.689676	
1520.000000	4.376652	7.740527	
1530.000000	4.373445	7.790586	
1540.000000	4.370457	7.839860	
1550.000000	4.367674	7.888352	
1560.000000	4.365085	7.936068	
1570.000000	4.362678	7.983013	
1580.000000	4.360440	8.029194	
1590.000000	4.358362	8.074618	
1600.000000	4.356433	8.119294	
