Wavelength (nm)	n	k
1275.000000	1.873321	11.506257	
1280.000000	1.883644	11.556220	
1285.000000	1.894000	11.605843	
1290.000000	1.904384	11.655124	
1295.000000	1.914788	11.704061	
1300.000000	1.925207	11.752651	
1305.000000	1.935636	11.800896	
1310.000000	1.946069	11.848791	
1315.000000	1.956503	11.896338	
1320.000000	1.966931	11.943534	
1325.000000	1.977351	11.990380	
1330.000000	1.987757	12.036876	
1335.000000	1.998146	12.083020	
1340.000000	2.008514	12.128814	
1345.000000	2.018858	12.174257	
1350.000000	2.029175	12.219351	
1355.000000	2.039462	12.264095	
1360.000000	2.049715	12.308490	
1365.000000	2.059932	12.352537	
1370.000000	2.070111	12.396237	
1375.000000	2.080249	12.439592	
1380.000000	2.090344	12.482601	
1385.000000	2.100394	12.525267	
1390.000000	2.110396	12.567592	
1395.000000	2.120350	12.609574	
1400.000000	2.130253	12.651219	
1405.000000	2.140104	12.692526	
1410.000000	2.149900	12.733497	
1415.000000	2.159642	12.774134	
1420.000000	2.169327	12.814438	
1425.000000	2.178955	12.854413	
1430.000000	2.188524	12.894058	
1435.000000	2.198033	12.933377	
1440.000000	2.207481	12.972372	
1445.000000	2.216868	13.011044	
1450.000000	2.226192	13.049396	
1455.000000	2.235453	13.087429	
1460.000000	2.244650	13.125145	
1465.000000	2.253782	13.162548	
1470.000000	2.262850	13.199639	
1475.000000	2.271852	13.236420	
1480.000000	2.280788	13.272894	
1485.000000	2.289657	13.309062	
1490.000000	2.298460	13.344928	
1495.000000	2.307196	13.380493	
1500.000000	2.315864	13.415760	
1505.000000	2.324466	13.450730	
1510.000000	2.332999	13.485407	
1515.000000	2.341464	13.519792	
1520.000000	2.349862	13.553888	
1525.000000	2.358191	13.587697	
1530.000000	2.366453	13.621222	
1535.000000	2.374646	13.654465	
1540.000000	2.382771	13.687427	
1545.000000	2.390829	13.720111	
1550.000000	2.398818	13.752521	
1555.000000	2.406739	13.784657	
1560.000000	2.414593	13.816523	
1565.000000	2.422379	13.848120	
1570.000000	2.430097	13.879451	
1575.000000	2.437748	13.910519	
1580.000000	2.445332	13.941324	
1585.000000	2.452849	13.971870	
1590.000000	2.460300	14.002160	
1595.000000	2.467684	14.032195	
1600.000000	2.475001	14.061976	
